timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,net_internal_bytes_in,net_internal_bytes_out,last_successful_scrape_age_sec,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector,run_id,fault_order_hash,intensity_seed
1774292533,normal,sw-wk2,0.334333333,0.413626669,0,0,214.2666667,558.4333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292543,normal,sw-wk3,0.110333333,0.43442605,0,0,9432.733333,5883.566667,0,104,5,0,0,0,"{""process_exit"": 106, ""process_exec"": 104}",0449aaec,4a9d4eec,1760
1774292543,normal,k3s-wk1,0.288210676,0.709123449,196.7410178,181.5814078,29461.86724,15942.86764,0,60,3,0,57,0,"{""process_exit"": 60, ""process_exec"": 60, ""process_kprobe"": 57}",0449aaec,4a9d4eec,1760
1774292543,normal,sw-wk2,0.334333333,0.413626669,0,0,214.2666667,558.4333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292553,normal,sw-wk3,0.110333333,0.43442605,0,0,9432.733333,5883.566667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292553,security_suspicious_network,k3s-wk1,0.288210676,0.709123449,196.7410178,181.5814078,29461.86724,15942.86764,0,75,3,0,69,0,"{""process_exit"": 75, ""process_exec"": 75, ""process_kprobe"": 69}",0449aaec,4a9d4eec,1760
1774292553,normal,sw-wk2,0.334777778,0.413738083,0,0,6927.466667,747.3666667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292563,normal,sw-wk3,0.134111111,0.435162177,0,0,6302,28298.53333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292563,security_suspicious_network,k3s-wk1,0.288210676,0.709123449,196.7410178,181.5814078,29461.86724,15942.86764,0,61,8,0,56,3,"{""process_kprobe"": 56, ""process_exit"": 63, ""process_exec"": 61}",0449aaec,4a9d4eec,1760
1774292563,normal,sw-wk2,0.334777778,0.413738083,0,0,6927.466667,747.3666667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292573,normal,sw-wk3,0.134111111,0.435162177,0,0,6302,28298.53333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292573,security_suspicious_network,k3s-wk1,0.357444444,0.717424432,244.7333333,233.0666667,6354.2,7228.566667,0,66,7,0,63,3,"{""process_exit"": 68, ""process_kprobe"": 63, ""process_exec"": 66}",0449aaec,4a9d4eec,1760
1774292573,normal,sw-wk2,0.334777778,0.413738083,0,0,6927.466667,747.3666667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292583,normal,sw-wk3,0.134111111,0.435162177,0,0,6302,28298.53333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292583,security_suspicious_network,k3s-wk1,0.357444444,0.717424432,244.7333333,233.0666667,6354.2,7228.566667,0,90,7,0,79,3,"{""process_exit"": 94, ""process_exec"": 90, ""process_kprobe"": 79}",0449aaec,4a9d4eec,1760
1774292583,normal,sw-wk2,0.334222222,0.413863423,4.466666667,0,545.1666667,562.9666667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292593,normal,sw-wk3,0.104333333,0.432088351,0,0,3396.733333,5708.466667,0,106,7,0,0,0,"{""process_exec"": 106, ""process_exit"": 106}",0449aaec,4a9d4eec,1760
1774292593,security_suspicious_network,k3s-wk1,0.357444444,0.717424432,244.7333333,233.0666667,6354.2,7228.566667,0,40,7,0,34,1,"{""process_exit"": 43, ""process_exec"": 40, ""process_kprobe"": 34}",0449aaec,4a9d4eec,1760
1774292593,normal,sw-wk2,0.334222222,0.413863423,4.466666667,0,545.1666667,562.9666667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292603,normal,sw-wk3,0.104333333,0.432088351,0,0,3396.733333,5708.466667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292603,security_suspicious_network,k3s-wk1,0.32,0.707771973,239.4666667,247.7,29237.33333,8039.366667,0,17,4,0,17,2,"{""process_kprobe"": 17, ""process_exec"": 17, ""process_exit"": 16}",0449aaec,4a9d4eec,1760
1774292603,normal,sw-wk2,0.334222222,0.413863423,4.466666667,0,545.1666667,562.9666667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292613,normal,sw-wk3,0.104333333,0.432088351,0,0,3396.733333,5708.466667,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292613,security_suspicious_network,k3s-wk1,0.32,0.707771973,239.4666667,247.7,29237.33333,8039.366667,0,21,6,0,14,2,"{""process_exit"": 23, ""process_exec"": 21, ""process_kprobe"": 14}",0449aaec,4a9d4eec,1760
1774292613,normal,sw-wk2,0.334222222,0.413988763,0,0,1126.766667,582.8,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292623,normal,sw-wk3,0.117555556,0.429943637,0,0,4389.666667,28413.43333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292623,security_suspicious_network,k3s-wk1,0.32,0.707771973,239.4666667,247.7,29237.33333,8039.366667,0,48,7,0,42,3,"{""process_exit"": 52, ""process_exec"": 48, ""process_kprobe"": 42}",0449aaec,4a9d4eec,1760
1774292623,normal,sw-wk2,0.334222222,0.413988763,0,0,1126.766667,582.8,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292633,normal,sw-wk3,0.117555556,0.429943637,0,0,4389.666667,28413.43333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292633,security_suspicious_network,k3s-wk1,0.294888889,0.709455067,230.6,233.3,11725.93333,20101.13333,0,22,6,0,18,3,"{""process_exit"": 24, ""process_exec"": 22, ""process_kprobe"": 18}",0449aaec,4a9d4eec,1760
1774292633,normal,sw-wk2,0.334222222,0.413988763,0,0,1126.766667,582.8,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292643,normal,sw-wk3,0.117555556,0.429943637,0,0,4389.666667,28413.43333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292643,security_suspicious_network,k3s-wk1,0.294888889,0.709455067,230.6,233.3,11725.93333,20101.13333,0,19,6,0,12,2,"{""process_exit"": 21, ""process_exec"": 19, ""process_kprobe"": 12}",0449aaec,4a9d4eec,1760
1774292643,normal,sw-wk2,0.233888889,0.409048767,0,6,24833.36667,9148.333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292653,normal,sw-wk3,0.105777778,0.430066988,0,0,12166.53333,5589.9,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292653,security_suspicious_network,k3s-wk1,0.294888889,0.709455067,230.6,233.3,11725.93333,20101.13333,0,63,7,0,56,2,"{""process_exit"": 65, ""process_exec"": 63, ""process_kprobe"": 56}",0449aaec,4a9d4eec,1760
1774292653,normal,sw-wk2,0.233888889,0.409048767,0,6,24833.36667,9148.333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292663,normal,sw-wk3,0.105777778,0.430066988,0,0,12166.53333,5589.9,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292663,security_suspicious_network,k3s-wk1,0.291626393,0.706813965,235.4431224,241.0758924,10846.31537,24490.01766,0,22,6,0,16,2,"{""process_exit"": 24, ""process_exec"": 22, ""process_kprobe"": 16}",0449aaec,4a9d4eec,1760
1774292663,normal,sw-wk2,0.233888889,0.409048767,0,6,24833.36667,9148.333333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292673,normal,sw-wk3,0.105777778,0.430066988,0,0,12166.53333,5589.9,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292673,security_suspicious_network,k3s-wk1,0.291626393,0.706813965,235.4431224,241.0758924,10846.31537,24490.01766,0,66,7,0,57,2,"{""process_exit"": 68, ""process_exec"": 66, ""process_kprobe"": 57}",0449aaec,4a9d4eec,1760
1774292673,normal,sw-wk2,0.138222222,0.407351701,0,0,4896.4,4542.8,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292753,normal,sw-wk3,0.098222222,0.430896622,0,0,4198.933333,5371.3,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292753,normal,k3s-wk1,0.285777778,0.705913858,204.4666667,190.2,9737.566667,5100.766667,0,57,3,0,53,0,"{""process_exit"": 57, ""process_exec"": 57, ""process_kprobe"": 53}",0449aaec,4a9d4eec,1760
1774292753,normal,sw-wk2,0.158,0.404882697,0,0,4709.866667,4585.133333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292763,normal,sw-wk3,0.098222222,0.430896622,0,0,4198.933333,5371.3,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292763,normal,k3s-wk1,0.285777778,0.705913858,204.4666667,190.2,9737.566667,5100.766667,0,33,3,0,30,0,"{""process_exit"": 34, ""process_exec"": 33, ""process_kprobe"": 30}",0449aaec,4a9d4eec,1760
1774292763,normal,sw-wk2,0.071092891,0.405057776,0,0,577.2422758,4143.352331,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292773,normal,sw-wk3,0.101444444,0.433693903,3,3,1978.533333,5199.3,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292773,normal,k3s-wk1,0.285777778,0.705913858,204.4666667,190.2,9737.566667,5100.766667,0,15,2,0,13,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 13}",0449aaec,4a9d4eec,1760
1774292773,normal,sw-wk2,0.071092891,0.405057776,0,0,577.2422758,4143.352331,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292783,normal,sw-wk3,0.101444444,0.433693903,3,3,1978.533333,5199.3,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292783,normal,k3s-wk1,0.284111111,0.70572173,194.4666667,179.2666667,9569.166667,8624.5,0,15,2,0,12,0,"{""process_kprobe"": 12, ""process_exit"": 15, ""process_exec"": 15}",0449aaec,4a9d4eec,1760
1774292783,normal,sw-wk2,0.071092891,0.405057776,0,0,577.2422758,4143.352331,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292793,normal,sw-wk3,0.101444444,0.433693903,3,3,1978.533333,5199.3,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292793,normal,k3s-wk1,0.284111111,0.70572173,194.4666667,179.2666667,9569.166667,8624.5,0,15,2,0,10,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 10}",0449aaec,4a9d4eec,1760
1774292793,normal,sw-wk2,0.149581625,0.406060498,0,0,4280.361369,4479.247925,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292803,normal,sw-wk3,0.087888889,0.433799348,2.133333333,2,3186.9,5271.933333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292803,normal,k3s-wk1,0.284111111,0.70572173,194.4666667,179.2666667,9569.166667,8624.5,0,57,3,0,56,0,"{""process_kprobe"": 56, ""process_exit"": 57, ""process_exec"": 57}",0449aaec,4a9d4eec,1760
1774292803,normal,sw-wk2,0.149581625,0.406060498,0,0,4280.361369,4479.247925,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292813,normal,sw-wk3,0.087888889,0.433799348,2.133333333,2,3186.9,5271.933333,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292813,normal,k3s-wk1,0.268555556,0.705605927,191.6,176.4,9193.166667,1245.833333,0,15,2,0,12,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 12}",0449aaec,4a9d4eec,1760
1774292813,normal,sw-wk2,0.149581625,0.406060498,0,0,4280.361369,4479.247925,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292823,normal,sw-wk3,0.087888889,0.433799348,2.133333333,2,3186.9,5271.933333,0,1,1,0,0,0,"{""process_exit"": 1, ""process_exec"": 1}",0449aaec,4a9d4eec,1760
1774292823,normal,k3s-wk1,0.268555556,0.705605927,191.6,176.4,9193.166667,1245.833333,0,30,3,0,26,0,"{""process_exit"": 30, ""process_exec"": 30, ""process_kprobe"": 26}",0449aaec,4a9d4eec,1760
1774292823,normal,sw-wk2,0.066777778,0.406173901,0,0,406.4,4031.6,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292833,normal,sw-wk3,0.096555556,0.434895579,0,0,2119.233333,5300.166667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292833,normal,k3s-wk1,0.268555556,0.705605927,191.6,176.4,9193.166667,1245.833333,0,15,2,0,13,0,"{""process_exit"": 15, ""process_exec"": 15, ""process_kprobe"": 13}",0449aaec,4a9d4eec,1760
1774292833,normal,sw-wk2,0.066777778,0.406173901,0,0,406.4,4031.6,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292843,normal,sw-wk3,0.096555556,0.434895579,0,0,2119.233333,5300.166667,0,0,0,0,0,0,{},0449aaec,4a9d4eec,1760
1774292843,normal,k3s-wk1,0.284444444,0.707979892,194.4666667,179.2666667,9920.033333,8917.3,0,42,3,0,37,0,"{""process_exit"": 42, ""process_exec"": 42, ""process_kprobe"": 37}",0449aaec,4a9d4eec,1760
