timestamp,label,node,avg_cpu,avg_mem,net_bytes_in,net_bytes_out,exec_count,unique_process_count,tmp_exec_count,outbound_connect_count,mining_port_count,syscall_feature_vector
1772026756,normal,k3s-wk1,0.21948943544624533,0.5028575714787653,0.0,0.0,76,3,0,4,0,"{""process_exec"": 76, ""process_exit"": 77, ""process_kprobe"": 4}"
1772026756,normal,sw-wk2,0.14062500000000133,0.42949615672294983,0.0,0.0,0,0,0,0,0,{}
1772026756,normal,sw-wk3,0.11817636472705328,0.2974899342743925,4.465773511964274,5.99880023995201,0,0,0,0,0,{}
1772026766,normal,k3s-wk1,0.21948943544624533,0.5028575714787653,0.0,0.0,0,0,0,0,0,{}
1772026766,normal,sw-wk2,0.18019669944990735,0.42761430367458664,0.0,0.0,0,0,0,0,0,{}
1772026766,normal,sw-wk3,0.11817636472705328,0.2974899342743925,4.465773511964274,5.99880023995201,0,0,0,0,0,{}
1772026776,normal,k3s-wk1,0.21948943544624533,0.5028575714787653,0.0,0.0,0,0,0,0,0,{}
1772026776,normal,sw-wk2,0.18019669944990735,0.42761430367458664,0.0,0.0,0,0,0,0,0,{}
1772026776,normal,sw-wk3,0.11348936453957548,0.2974620844406958,0.0,0.0,0,0,0,0,0,{}
1772026786,normal,k3s-wk1,0.19126957680773138,0.5085937695335374,0.0,0.0,0,0,0,0,0,{}
1772026786,normal,sw-wk2,0.18019669944990735,0.42761430367458664,0.0,0.0,0,0,0,0,0,{}
1772026786,normal,sw-wk3,0.11348936453957548,0.2974620844406958,0.0,0.0,0,0,0,0,0,{}
1772026796,normal,k3s-wk1,0.19126957680773138,0.5085937695335374,0.0,0.0,0,0,0,0,0,{}
1772026796,normal,sw-wk2,0.16902427791302088,0.4277814026767669,0.0,0.0,0,0,0,0,0,{}
1772026796,normal,sw-wk3,0.11348936453957548,0.2974620844406958,0.0,0.0,0,0,0,0,0,{}
1772026806,normal,k3s-wk1,0.19126957680773138,0.5085937695335374,0.0,0.0,67,4,0,0,0,"{""process_exec"": 67, ""process_exit"": 65}"
1772026806,normal,sw-wk2,0.16902427791302088,0.4277814026767669,0.0,0.0,0,0,0,0,0,{}
1772026806,normal,sw-wk3,0.12100913150703185,0.2975655266801407,0.0,0.0,0,0,0,0,0,{}
1772026816,normal,k3s-wk1,0.2237321254107817,0.502808881566394,4.463096189714895,5.995203836930456,38,3,0,4,0,"{""process_exit"": 40, ""process_exec"": 38, ""process_kprobe"": 4}"
1772026816,normal,sw-wk2,0.16902427791302088,0.4277814026767669,0.0,0.0,0,0,0,0,0,{}
1772026816,normal,sw-wk3,0.12100913150703185,0.2975655266801407,0.0,0.0,0,0,0,0,0,{}
1772026826,normal,k3s-wk1,0.2237321254107817,0.502808881566394,4.463096189714895,5.995203836930456,0,0,0,0,0,{}
1772026826,normal,sw-wk2,0.182856370578099,0.4278470487133377,0.0,0.0,0,0,0,0,0,{}
1772026826,normal,sw-wk3,0.12100913150703185,0.2975655266801407,0.0,0.0,0,0,0,0,0,{}
1772026836,normal,k3s-wk1,0.2237321254107817,0.502808881566394,4.463096189714895,5.995203836930456,0,0,0,0,0,{}
1772026836,normal,sw-wk2,0.182856370578099,0.4278470487133377,0.0,0.0,0,0,0,0,0,{}
1772026836,normal,sw-wk3,0.128412841284129,0.2975595588586343,0.0,0.0,0,0,0,0,0,{}
1772026846,normal,k3s-wk1,0.17412105028927316,0.5036576651739479,0.0,0.0,0,0,0,0,0,{}
1772026846,normal,sw-wk2,0.182856370578099,0.4278470487133377,0.0,0.0,0,0,0,0,0,{}
1772026846,normal,sw-wk3,0.128412841284129,0.2975595588586343,0.0,0.0,0,0,0,0,0,{}
1772026856,normal,k3s-wk1,0.17412105028927316,0.5036576651739479,0.0,0.0,0,0,0,0,0,{}
1772026856,normal,sw-wk2,0.19700606788024155,0.4281613539793434,0.0,0.0,0,0,0,0,0,{}
1772026856,normal,sw-wk3,0.128412841284129,0.2975595588586343,0.0,0.0,0,0,0,0,0,{}
1772026866,normal,k3s-wk1,0.17412105028927316,0.5036576651739479,0.0,0.0,33,4,0,0,0,"{""process_exec"": 33, ""process_exit"": 32}"
1772026866,normal,sw-wk2,0.19700606788024155,0.4281613539793434,0.0,0.0,0,0,0,0,0,{}
1772026866,normal,sw-wk3,0.11991199119911866,0.29767095819342104,0.0,0.0,0,0,0,0,0,{}
1772026876,normal,k3s-wk1,0.2185555555555564,0.5014613553429283,5.133333333333333,5.0,13,1,0,0,0,"{""process_exec"": 13, ""process_exit"": 12}"
1772026876,normal,sw-wk2,0.19700606788024155,0.4281613539793434,0.0,0.0,0,0,0,0,0,{}
1772026876,normal,sw-wk3,0.11991199119911888,0.29767095819342104,0.0,0.0,0,0,0,0,0,{}
1772026886,normal,k3s-wk1,0.2185555555555564,0.5014613553429283,5.133333333333333,5.0,59,3,0,2,0,"{""process_exit"": 61, ""process_exec"": 59, ""process_kprobe"": 2}"
1772026886,normal,sw-wk2,0.17510829723425725,0.4277933383197797,0.0,0.0,0,0,0,0,0,{}
1772026886,normal,sw-wk3,0.11991199119911888,0.29767095819342104,0.0,0.0,0,0,0,0,0,{}
1772026896,normal,k3s-wk1,0.2185555555555564,0.5014613553429283,5.133333333333333,5.0,0,0,0,0,0,{}
1772026896,normal,sw-wk2,0.17510829723425725,0.4277933383197797,0.0,0.0,0,0,0,0,0,{}
1772026896,normal,sw-wk3,0.13500000000000045,0.2976530547289018,0.0,0.0,0,0,0,0,0,{}
1772026906,normal,k3s-wk1,0.17569053410189017,0.5028049337356612,0.0,0.0,0,0,0,0,0,{}
1772026906,normal,sw-wk2,0.17510829723425725,0.4277933383197797,0.0,0.0,0,0,0,0,0,{}
1772026906,normal,sw-wk3,0.13500000000000045,0.2976530547289018,0.0,0.0,0,0,0,0,0,{}
1772026917,normal,k3s-wk1,0.17569053410189017,0.5028049337356612,0.0,0.0,1,1,0,2,0,"{""process_kprobe"": 2, ""process_exec"": 1}"
1772026917,normal,sw-wk2,0.15549999999999886,0.42796441586963097,4.466666666666667,6.0,0,0,0,0,0,{}
1772026917,normal,sw-wk3,0.13500000000000045,0.2976530547289018,0.0,0.0,0,0,0,0,0,{}
1772026931,normal,k3s-wk1,0.17569053410189017,0.5028049337356612,0.0,0.0,0,0,0,4,0,"{""process_kprobe"": 4}"
1772026931,normal,sw-wk2,0.15549999999999886,0.42796441586963097,4.466666666666667,6.0,0,0,0,0,0,{}
1772026931,normal,sw-wk3,0.19324734193247384,0.30525208078043187,0.0,0.0,0,0,0,0,0,{}
1772026937,normal,k3s-wk1,0.6000889185283982,0.49787935692469254,592.43081027009,294.4648216072024,0,0,0,0,0,{}
1772026937,normal,sw-wk2,0.15549999999999886,0.42796441586963097,4.466666666666667,6.0,0,0,0,0,0,{}
1772026937,normal,sw-wk3,0.19324734193247384,0.30525208078043187,0.0,0.0,0,0,0,0,0,{}
1772026947,normal,k3s-wk1,0.6000889185283982,0.49787935692469254,592.43081027009,294.4648216072024,0,0,0,0,0,{}
1772026947,normal,sw-wk2,0.17222296306174212,0.42771177809252514,0.0,0.0,0,0,0,0,0,{}
1772026947,normal,sw-wk3,0.19324734193247384,0.30525208078043187,0.0,0.0,0,0,0,0,0,{}
