2026-02-28 22:02:49 [byzantine-cluster-worker5] Loss=0.1146 | Trust= 65.0 | ⚠️  ANOMALY
2026-02-28 22:02:59 [byzantine-cluster-worker] Loss=0.1138 | Trust= 60.0 | ⚠️  ANOMALY
2026-02-28 22:02:59 [byzantine-cluster-worker2] Loss=0.1141 | Trust= 60.0 | ⚠️  ANOMALY
2026-02-28 22:02:59 [byzantine-cluster-worker3] Loss=0.1120 | Trust= 60.0 | ⚠️  ANOMALY
2026-02-28 22:02:59 [byzantine-cluster-worker4] Loss=0.1671 | Trust= 60.0 | ⚠️  ANOMALY
2026-02-28 22:02:59 [byzantine-cluster-worker5] Loss=0.1146 | Trust= 60.0 | ⚠️  ANOMALY
2026-02-28 22:03:10 [byzantine-cluster-worker] Loss=0.1140 | Trust= 55.0 | ⚠️  ANOMALY
2026-02-28 22:03:10 [byzantine-cluster-worker2] Loss=0.1127 | Trust= 55.0 | ⚠️  ANOMALY
2026-02-28 22:03:10 [byzantine-cluster-worker3] Loss=0.1118 | Trust= 55.0 | ⚠️  ANOMALY
2026-02-28 22:03:10 [byzantine-cluster-worker4] Loss=0.1670 | Trust= 55.0 | ⚠️  ANOMALY
2026-02-28 22:03:10 [byzantine-cluster-worker5] Loss=0.1145 | Trust= 55.0 | ⚠️  ANOMALY
2026-02-28 22:03:20 [byzantine-cluster-worker] Loss=0.1136 | Trust= 50.0 | ⚠️  ANOMALY
2026-02-28 22:03:20 [byzantine-cluster-worker2] Loss=0.1127 | Trust= 50.0 | ⚠️  ANOMALY
2026-02-28 22:03:20 [byzantine-cluster-worker3] Loss=0.1126 | Trust= 50.0 | ⚠️  ANOMALY
2026-02-28 22:03:20 [byzantine-cluster-worker4] Loss=0.1675 | Trust= 50.0 | ⚠️  ANOMALY
2026-02-28 22:03:20 [byzantine-cluster-worker5] Loss=0.1140 | Trust= 50.0 | ⚠️  ANOMALY
2026-02-28 22:03:30 [byzantine-cluster-worker] Loss=0.1146 | Trust= 45.0 | ⚠️  ANOMALY
2026-02-28 22:03:30 [byzantine-cluster-worker2] Loss=0.1141 | Trust= 45.0 | ⚠️  ANOMALY
2026-02-28 22:03:30 [byzantine-cluster-worker3] Loss=0.1144 | Trust= 45.0 | ⚠️  ANOMALY
2026-02-28 22:03:30 [byzantine-cluster-worker4] Loss=0.1674 | Trust= 45.0 | ⚠️  ANOMALY
2026-02-28 22:03:30 [byzantine-cluster-worker5] Loss=0.1145 | Trust= 45.0 | ⚠️  ANOMALY
2026-02-28 22:03:40 [byzantine-cluster-worker] Loss=0.1152 | Trust= 40.0 | ⚠️  ANOMALY
2026-02-28 22:03:40 [byzantine-cluster-worker2] Loss=0.1154 | Trust= 40.0 | ⚠️  ANOMALY
2026-02-28 22:03:40 [byzantine-cluster-worker3] Loss=0.1162 | Trust= 40.0 | ⚠️  ANOMALY
2026-02-28 22:03:40 [byzantine-cluster-worker4] Loss=0.1677 | Trust= 40.0 | ⚠️  ANOMALY
2026-02-28 22:03:40 [byzantine-cluster-worker5] Loss=0.1149 | Trust= 40.0 | ⚠️  ANOMALY
2026-02-28 22:03:50 [byzantine-cluster-worker] Loss=0.1156 | Trust= 35.0 | ⚠️  ANOMALY
