node,timestamp,cpu,mem,net_out,net_in,latency
kind-worker,1768910067.1928205,1.5,20.4,1336575,2416397,4.127264022827148
kind-worker2,1768910067.2294877,1.5,20.4,1335777,2415599,3.1108856201171875
kind-worker,1768910072.2195694,1.2,20.4,1337122,2417396,21.817922592163086
kind-worker2,1768910072.2430437,1.2,20.4,1336324,2416598,11.527538299560547
kind-worker,1768910077.2288125,1.4,20.4,1337669,2418395,4.155874252319336
kind-worker2,1768910077.2498806,1.5,20.4,1336871,2417597,2.7954578399658203
kind-worker,1768910080.1176898,1.5,20.4,1338258,2419436,3.542661666870117
kind-worker2,1768910080.1366765,1.5,20.4,1337418,2418596,2.9058456420898438
kind-worker,1768910085.1282146,1.3,20.4,1338805,2420435,2.945423126220703
kind-worker2,1768910085.1405163,1.3,20.4,1337965,2419595,2.8154850006103516
kind-worker,1768910090.138113,1.1,20.4,1339352,2421434,2.833127975463867
kind-worker2,1768910090.1485648,1.1,20.4,1338512,2420594,2.724885940551758
kind-worker,1768910095.1450517,1.2,20.4,1339899,2422433,2.9659271240234375
kind-worker2,1768910095.1575606,1.2,20.4,1339101,2421635,2.832651138305664
kind-worker,1768910100.152092,1.1,20.4,1340488,2423474,3.030538558959961
kind-worker2,1768910100.1645923,1.1,20.4,1339690,2422676,2.736806869506836
kind-worker,1768910105.1647654,1.3,20.4,1341035,2424473,10.709524154663086
kind-worker2,1768910105.1724772,1.3,20.4,1340237,2423675,2.8884410858154297
kind-worker2,1768910110.1807961,1.1,20.4,1340784,2424674,2.897977828979492
kind-worker,1768910110.1858735,1.2,20.4,1341582,2425472,14.404773712158203
kind-worker2,1768910113.0809417,1.4,20.4,1341331,2425673,3.3223628997802734
kind-worker,1768910113.087327,1.4,20.4,1342129,2426471,2.747774124145508
kind-worker2,1768910118.0910826,1.3,20.4,1341878,2426672,3.545522689819336
kind-worker,1768910118.0953016,1.3,20.4,1342676,2427470,2.8276443481445312
kind-worker2,1768910123.100724,1.6,20.4,1342425,2427671,3.285646438598633
kind-worker,1768910123.1004744,1.6,20.4,1343265,2428511,3.0367374420166016
kind-worker2,1768910128.1098857,1.1,20.4,1342972,2428670,2.8133392333984375
kind-worker,1768910128.1097734,1.1,20.4,1343812,2429510,2.9914379119873047
kind-worker2,1768910133.120335,1.3,20.4,1343519,2429669,3.4589767456054688
kind-worker,1768910133.1226573,1.3,20.4,1344359,2430509,3.374814987182617
kind-worker2,1768910138.1309292,1.1,20.4,1344108,2430710,3.9589405059814453
kind-worker,1768910138.1483128,1.1,20.4,1344906,2431508,18.923521041870117
kind-worker2,1768910140.9944057,1.3,20.4,1344697,2431751,13.820409774780273
kind-worker,1768910140.9972556,1.3,20.4,1345453,2432507,2.9418468475341797
kind-worker2,1768910146.0042777,1.3,20.4,1345244,2432750,3.313779830932617
kind-worker,1768910146.0069718,1.3,20.4,1346042,2433548,3.008604049682617
kind-worker2,1768910151.0140758,1.6,20.4,1345791,2433749,3.688812255859375
kind-worker,1768910151.0171497,1.6,20.4,1346589,2434547,3.239154815673828
kind-worker2,1768910156.02433,1.1,20.4,1346338,2434748,3.980875015258789
kind-worker,1768910156.0304341,1.1,20.4,1347136,2435546,2.8901100158691406
kind-worker2,1768910161.0358162,1.3,20.4,1346885,2435747,3.5066604614257812
kind-worker,1768910161.0437586,1.4,20.4,1347683,2436545,2.881288528442383
kind-worker2,1768910166.0481179,1.3,20.4,1347432,2436746,3.8907527923583984
kind-worker,1768910166.0594902,1.3,20.4,1348272,2437586,3.1883716583251953
kind-worker2,1768910171.070075,1.5,20.4,1347979,2437745,18.1427001953125
kind-worker,1768910171.0759888,1.5,20.4,1348819,2438585,9.906768798828125
kind-worker2,1768910173.9536324,1.3,20.4,1348526,2438744,3.278017044067383
kind-worker,1768910173.959784,1.2,20.4,1349366,2439584,2.988576889038086
kind-worker2,1768910178.9642873,1.6,20.4,1349115,2439785,3.741741180419922
kind-worker,1768910178.9685807,1.6,20.4,1349913,2440583,2.5832653045654297
kind-worker2,1768910183.973947,1.1,20.4,1349704,2440826,3.2227039337158203
kind-worker,1768910183.9897366,1.1,20.4,1350460,2441582,3.1867027282714844
kind-worker2,1768910188.9798102,1.5,20.4,1350251,2441825,4.332065582275391
kind-worker,1768910188.9994562,1.5,20.4,1351007,2442581,3.5278797149658203
kind-worker2,1768910193.9905457,1.4,20.4,1350798,2442824,3.33404541015625
kind-worker,1768910194.0090528,1.4,20.4,1351596,2443622,3.032207489013672
kind-worker2,1768910198.9957542,1.5,20.4,1351345,2443823,3.2567977905273438
kind-worker,1768910199.017675,1.5,20.4,1352143,2444621,3.2181739807128906
kind-worker2,1768910201.8323262,1.2,20.4,1351892,2444822,11.463403701782227
kind-worker,1768910201.8427455,1.2,20.4,1352690,2445620,2.8007030487060547
kind-worker,1768910206.850802,1.4,20.4,1353279,2446661,3.033161163330078
kind-worker2,1768910206.8593762,1.4,20.4,1352481,2445863,19.629716873168945
kind-worker,1768910211.8592403,1.1,20.4,1353826,2447660,3.728151321411133
kind-worker2,1768910211.8636923,1.1,20.4,1353070,2446904,3.032684326171875
kind-worker,1768910216.871867,1.3,20.4,1354373,2448659,3.412961959838867
kind-worker2,1768910216.8743832,1.3,20.4,1353617,2447903,3.025531768798828
kind-worker,1768910221.8818913,1.3,20.4,1354920,2449658,3.6618709564208984
kind-worker2,1768910221.8832994,1.3,20.4,1354164,2448902,3.207683563232422
kind-worker,1768910226.8892787,1.4,20.4,1355467,2450657,4.233837127685547
kind-worker2,1768910226.8928006,1.4,20.4,1354711,2449901,3.406047821044922
kind-worker2,1768910231.8988492,1.2,20.4,1355300,2450942,2.941608428955078
kind-worker,1768910231.9055338,1.2,20.4,1356056,2451698,11.922121047973633
kind-worker2,1768910234.796738,1.6,20.4,1355847,2451941,3.693103790283203
kind-worker,1768910234.7985098,1.6,20.4,1356603,2452697,2.850055694580078
kind-worker2,1768910239.8283384,1.5,20.4,1356394,2452940,22.46713638305664
kind-worker,1768910239.8290503,1.5,20.4,1357150,2453696,23.286104202270508
kind-worker2,1768910244.8342855,1.5,20.4,1356983,2453981,4.190206527709961
kind-worker,1768910244.8366492,1.5,20.4,1357697,2454695,3.8449764251708984
kind-worker2,1768910249.8461509,1.4,20.4,1357530,2454980,4.408359527587891
kind-worker,1768910249.847492,1.4,20.4,1358286,2455736,3.1473636627197266
kind-worker2,1768910254.8577485,1.6,20.4,1358077,2455979,4.792690277099609
kind-worker,1768910254.8594573,1.6,20.4,1358833,2456735,3.1707286834716797
kind-worker,1768910259.8700764,1.4,20.4,1359380,2457734,3.9072036743164062
kind-worker2,1768910259.8696632,1.4,20.4,1358666,2457020,4.810571670532227
kind-worker2,1768910262.6510804,1.6,20.4,1359213,2458019,3.361225128173828
kind-worker,1768910262.6523173,1.6,20.4,1359927,2458733,2.985239028930664
kind-worker2,1768910267.6605752,1.2,20.4,1359760,2459018,3.1604766845703125
kind-worker,1768910267.6607049,1.2,20.4,1360474,2459732,3.3321380615234375
kind-worker,1768910272.682728,1.5,20.4,1361063,2460773,15.73491096496582
